COUNTRY,MIXED_PAPERS,FIRST_AUTHOR_PAPERS,FIRST_AUTHOR_PERCENT,LAST_AUTHOR_PAPERS,LAST_AUTHOR_PERCENT,CORRESPONDING_AUTHOR_PAPERS,CORRESPONDING_AUTHOR_PERCENT,SELECTED_FOR_FIGURE
EG,173,64,37.0,113,65.3,67,38.7,True
ET,52,18,34.6,26,50.0,35,67.3,True
NG,49,18,36.7,12,24.5,13,26.5,True
TN,48,30,62.5,32,66.7,26,54.2,True
ZA,36,8,22.2,12,33.3,10,27.8,True
DZ,30,16,53.3,6,20.0,15,50.0,True
GH,23,14,60.9,8,34.8,17,73.9,True
MA,23,13,56.5,11,47.8,9,39.1,True
UG,16,5,31.2,7,43.8,8,50.0,True
KE,11,3,27.3,1,9.1,3,27.3,True
