AFFILIATION_REGION,BASE_PROFILE,AUTHORS,PERCENT
Africa,BASIC_LIFE_SCIENCES,78,2.9
Africa,BIOINFORMATICS,124,4.7
Africa,CLINICAL,193,7.2
Africa,COMPUTER_SCIENCE,1506,56.5
Africa,ENGINEERING_MATH,111,4.2
Africa,HYBRID_MED_TECH,516,19.4
Africa,OTHER_SCIENCES,19,0.7
Africa,PHYSICAL_SCIENCES,37,1.4
Africa,SOCIAL_SCIENCES_HUMANITIES,77,2.9
Africa,UNKNOWN,2,0.1
Outside Africa,BASIC_LIFE_SCIENCES,103,3.9
Outside Africa,BIOINFORMATICS,139,5.2
Outside Africa,CLINICAL,353,13.3
Outside Africa,COMPUTER_SCIENCE,1070,40.2
Outside Africa,ENGINEERING_MATH,86,3.2
Outside Africa,HYBRID_MED_TECH,619,23.3
Outside Africa,OTHER_SCIENCES,11,0.4
Outside Africa,PHYSICAL_SCIENCES,24,0.9
Outside Africa,SOCIAL_SCIENCES_HUMANITIES,249,9.4
Outside Africa,UNKNOWN,4,0.2
