OUTCOME,ROLE,CATEGORY,PAPERS,DENOMINATOR,PERCENT
Collaboration composition,All papers,Africa-only known affiliations,533,1158,46.1
Collaboration composition,All papers,Mixed Africa + outside,499,1158,43.1
Collaboration composition,All papers,No African affiliation detected,93,1158,8.0
Collaboration composition,All papers,Unknown affiliations only,33,1158,2.8
Leadership in mixed collaborations,First author,Africa only,204,499,40.9
Leadership in mixed collaborations,First author,Outside Africa only,271,499,54.3
Leadership in mixed collaborations,First author,Both regions,0,499,0.0
Leadership in mixed collaborations,First author,Unknown only,24,499,4.8
Leadership in mixed collaborations,Last author,Africa only,249,499,49.9
Leadership in mixed collaborations,Last author,Outside Africa only,232,499,46.5
Leadership in mixed collaborations,Last author,Both regions,0,499,0.0
Leadership in mixed collaborations,Last author,Unknown only,18,499,3.6
Leadership in mixed collaborations,Corresponding author,Africa only,189,499,37.9
Leadership in mixed collaborations,Corresponding author,Outside Africa only,259,499,51.9
Leadership in mixed collaborations,Corresponding author,Both regions,34,499,6.8
Leadership in mixed collaborations,Corresponding author,Unknown only,17,499,3.4
